channel,don_t_use_on_reg_day,less_than_an_hour_a_day,hours_1_to_3_a_day,hours_3_to_5_a_day,more_than_5_hours_a_day
TV viewing,0.250067808,0.229606123,0.334944039,0.11076812,0.07461391
AVOD,0.178069848,0.277630899,0.336356984,0.120812158,0.087130111
BVOD,0.326678935,0.225359637,0.285099439,0.092909556,0.069952433
Radio listening,0.214591464,0.352068414,0.281786205,0.085662545,0.065891372
Newspapers,0.425520515,0.287199705,0.179351021,0.064298929,0.043629829
Magazines,0.407190379,0.303157498,0.18228341,0.061118656,0.046250058
Internet,0.013078993,0.090887415,0.271024208,0.22031283,0.404696554
Internet search,0.052576101,0.216939172,0.321893724,0.168021351,0.240569652
Facebook,0.154302599,0.237802103,0.278319736,0.142467808,0.187107754
