CHANNEL,CHANNEL_RANKING
TV ads,0.540000000
High Impact Linear,0.524785671
In-store ads,0.509901951
AVOD ads,0.447325385
Facebook ads,0.439545220
Internet ads,0.438748219
YouTube ads,0.435660418
Outdoor billboards and posters,0.433128157
TikTok ads,0.428485706
Instagram ads,0.427434205
Outdoor video screen ads,0.409145451
In-store promotions,0.406201920
Online video ads,0.403980198
Promotions and coupons - online,0.381051178
Pinterest ads,0.374165739
Promotions on retailer website,0.372290209
Music streaming ads,0.366606056
Snapchat ads,0.364142829
Search on retailer's website,0.305941171
Direct mail,0.282842712
Internet search,0.265141472
Emails - subscribed,0.264575131
Podcast ads,0.219089023
Affiliate / Ambassador,0.154919334
Reviews / recommendations - influencers,0.144913767
